Disease,Symptoms,Prescription,Tests,Precautions,Doctor_Category,Description,Severity_Score
Common Cold,sneezing runny nose case_0,antihistamines | paracetamol,physical examination,rest | hydration,General Physician,Viral upper respiratory infection,2
Common Cold,nasal congestion cough case_1,antihistamines | paracetamol,physical examination,rest | hydration,General Physician,Viral upper respiratory infection,2
Common Cold,sore throat cold case_2,antihistamines | paracetamol,physical examination,rest | hydration,General Physician,Viral upper respiratory infection,2
Common Cold,runny nose headache case_3,antihistamines | paracetamol,physical examination,rest | hydration,General Physician,Viral upper respiratory infection,2
Influenza,high fever body pain case_4,antiviral drugs | paracetamol,rapid flu test,rest | isolation,General Physician,Seasonal influenza infection,4
Influenza,fever chills cough case_5,antiviral drugs | paracetamol,rapid flu test,rest | isolation,General Physician,Seasonal influenza infection,4
Influenza,headache fatigue fever case_6,antiviral drugs | paracetamol,rapid flu test,rest | isolation,General Physician,Seasonal influenza infection,4
Influenza,weakness fever case_7,antiviral drugs | paracetamol,rapid flu test,rest | isolation,General Physician,Seasonal influenza infection,4
Viral Fever,fever headache case_8,paracetamol | rest,blood test,hydration | rest,General Physician,Viral infection causing fever,3
Viral Fever,mild fever fatigue case_9,paracetamol | rest,blood test,hydration | rest,General Physician,Viral infection causing fever,3
Viral Fever,fever body ache case_10,paracetamol | rest,blood test,hydration | rest,General Physician,Viral infection causing fever,3
Viral Fever,low grade fever case_11,paracetamol | rest,blood test,hydration | rest,General Physician,Viral infection causing fever,3
Bacterial Pneumonia,high fever chest pain case_12,antibiotics | hospitalization,chest x-ray | sputum test,complete antibiotics,Pulmonologist,Bacterial lung infection,7
Bacterial Pneumonia,productive cough breathlessness case_13,antibiotics | hospitalization,chest x-ray | sputum test,complete antibiotics,Pulmonologist,Bacterial lung infection,7
Bacterial Pneumonia,shortness of breath fever case_14,antibiotics | hospitalization,chest x-ray | sputum test,complete antibiotics,Pulmonologist,Bacterial lung infection,7
Bacterial Pneumonia,chest tightness cough case_15,antibiotics | hospitalization,chest x-ray | sputum test,complete antibiotics,Pulmonologist,Bacterial lung infection,7
Asthma,wheezing breathlessness case_16,inhaler | bronchodilator,spirometry,avoid triggers,Pulmonologist,Chronic airway inflammation,5
Asthma,chest tightness wheezing case_17,inhaler | bronchodilator,spirometry,avoid triggers,Pulmonologist,Chronic airway inflammation,5
Asthma,shortness of breath case_18,inhaler | bronchodilator,spirometry,avoid triggers,Pulmonologist,Chronic airway inflammation,5
Asthma,night cough wheeze case_19,inhaler | bronchodilator,spirometry,avoid triggers,Pulmonologist,Chronic airway inflammation,5
Migraine,severe headache nausea case_20,pain relievers | rest,neurological exam,avoid bright light,Neurologist,Neurological headache disorder,4
Migraine,throbbing headache case_21,pain relievers | rest,neurological exam,avoid bright light,Neurologist,Neurological headache disorder,4
Migraine,headache light sensitivity case_22,pain relievers | rest,neurological exam,avoid bright light,Neurologist,Neurological headache disorder,4
Migraine,vomiting headache case_23,pain relievers | rest,neurological exam,avoid bright light,Neurologist,Neurological headache disorder,4
Food Poisoning,vomiting diarrhea case_24,oral rehydration | antibiotics,stool test,safe food | hydration,Gastroenterologist,Food-borne illness,5
Food Poisoning,stomach pain nausea case_25,oral rehydration | antibiotics,stool test,safe food | hydration,Gastroenterologist,Food-borne illness,5
Food Poisoning,loose motions case_26,oral rehydration | antibiotics,stool test,safe food | hydration,Gastroenterologist,Food-borne illness,5
Food Poisoning,abdominal cramps vomiting case_27,oral rehydration | antibiotics,stool test,safe food | hydration,Gastroenterologist,Food-borne illness,5
Minor Injury,bleeding cut wound case_28,wound cleaning | bandage,wound inspection,keep wound clean,General Surgeon,Cuts or bleeding injury,6
Minor Injury,hand injury bleeding case_29,wound cleaning | bandage,wound inspection,keep wound clean,General Surgeon,Cuts or bleeding injury,6
Minor Injury,minor cut pain case_30,wound cleaning | bandage,wound inspection,keep wound clean,General Surgeon,Cuts or bleeding injury,6
Minor Injury,wound bleeding case_31,wound cleaning | bandage,wound inspection,keep wound clean,General Surgeon,Cuts or bleeding injury,6
Common Cold,sneezing runny nose case_32,antihistamines | paracetamol,physical examination,rest | hydration,General Physician,Viral upper respiratory infection,2
Common Cold,nasal congestion cough case_33,antihistamines | paracetamol,physical examination,rest | hydration,General Physician,Viral upper respiratory infection,2
Common Cold,sore throat cold case_34,antihistamines | paracetamol,physical examination,rest | hydration,General Physician,Viral upper respiratory infection,2
Common Cold,runny nose headache case_35,antihistamines | paracetamol,physical examination,rest | hydration,General Physician,Viral upper respiratory infection,2
Influenza,high fever body pain case_36,antiviral drugs | paracetamol,rapid flu test,rest | isolation,General Physician,Seasonal influenza infection,4
Influenza,fever chills cough case_37,antiviral drugs | paracetamol,rapid flu test,rest | isolation,General Physician,Seasonal influenza infection,4
Influenza,headache fatigue fever case_38,antiviral drugs | paracetamol,rapid flu test,rest | isolation,General Physician,Seasonal influenza infection,4
Influenza,weakness fever case_39,antiviral drugs | paracetamol,rapid flu test,rest | isolation,General Physician,Seasonal influenza infection,4
Viral Fever,fever headache case_40,paracetamol | rest,blood test,hydration | rest,General Physician,Viral infection causing fever,3
Viral Fever,mild fever fatigue case_41,paracetamol | rest,blood test,hydration | rest,General Physician,Viral infection causing fever,3
